년도,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2014,"3,810.8","3,903.2","4,285.4","4,180.7","3,628.7","4,731.0","3,235.2","3,951.6","2,806.6","3,606.1","3,891.7","3,512.2","3,697.4","3,427.0","4,010.6","3,575.9","3,688.3","5,525.6"
2015,"3,961.1","3,887.8","4,532.5","4,363.7","3,823.6","4,458.2","3,383.9","2,940.0","2,081.7","3,806.9","4,170.0","3,667.6","3,899.9","3,579.4","4,435.5","3,725.6","4,352.1","5,980.0"
2016,"3,921.1","3,786.9","4,178.7","3,807.5","3,769.0","4,017.8","3,365.3","2,539.9","2,031.5","4,151.3","4,260.0","3,857.7","3,674.6","3,400.4","4,156.8","3,585.5","4,292.8","6,050.9"
2017,"3,553.0","3,609.0","3,800.6","3,347.8","3,472.3","3,653.0","3,296.1","2,291.9","1,891.8","3,596.9","3,872.8","3,539.0","3,425.9","3,130.3","3,599.8","3,328.8","3,812.0","5,382.9"
2018,"3,369.6","3,519.4","3,709.2","3,246.0","3,222.4","3,441.4","3,184.2","2,196.8","1,763.8","3,300.6","3,450.3","3,316.2","3,463.5","3,091.8","3,670.4","3,191.2","3,498.4","4,599.5"
2019,"3,414.8","3,525.9","3,807.1","3,402.2","3,431.0","3,547.5","3,188.4","2,253.0","1,912.4","3,273.8","3,505.6","3,302.2","3,372.0","3,201.6","3,824.0","3,298.2","3,701.1","4,266.0"
2020,"3,307.7","3,309.7","3,804.7","3,279.8","3,264.6","3,370.6","3,147.7","2,187.0","1,909.5","3,192.6","3,392.6","3,166.8","3,300.8","3,112.9","3,761.5","3,159.8","3,694.6","4,381.0"
2021,"2,958.7","2,890.5","3,406.4","3,019.4","2,896.3","3,022.4","2,828.5","2,085.3","1,702.2","2,850.6","2,985.9","2,891.7","2,909.9","2,934.4","3,372.5","2,851.5","3,351.1","3,942.8"
2022,"3,048.1","3,136.5","3,576.2","3,010.0","3,064.7","2,923.6","3,100.2","1,596.4","1,815.7","2,857.0","3,014.5","2,915.7","3,102.9","3,023.7","3,467.3","3,007.2","3,391.8","4,073.7"
2023,"3,120.6","3,141.6","3,657.2","3,018.0","3,189.3","3,164.5","3,053.9","1,708.9","2,060.7","2,935.9","3,179.0","2,830.8","3,201.5","3,007.9","3,839.0","3,027.9","3,493.0","4,285.8"
